Partij,Jaar,Zetels
PvdA,1991,16
PvdA,1992,16
PvdA,1993,16
PvdA,1994,16
PvdA,1995,14
PvdA,1996,14
PvdA,1997,14
PvdA,1998,14
PvdA,1999,15
PvdA,2000,15
PvdA,2001,15
PvdA,2002,15
PvdA,2003,19
PvdA,2004,19
PvdA,2005,19
PvdA,2006,19
PvdA,2007,14
PvdA,2008,14
PvdA,2009,14
PvdA,2010,14
PvdA,2011,14
PvdA,2012,14
PvdA,2013,14
PvdA,2014,14
PvdA,2015,8
PvdA,2016,8
PvdA,2017,8
PvdA,2018,8
PvdA,2019,6
PvdA,2020,6
PvdA,2021,6
PvdA,2022,6
PvdA,2023,7
PvdA,2024,7
PvdA,2025,7
VDB,1956,0
VDB,1957,0
VDB,1958,0
VDB,1959,0
VDB,1960,0
VDB,1961,0
VDB,1962,0
VDB,1963,0
VDB,1964,0
VDB,1965,0
VDB,1966,0
VDB,1967,0
VDB,1968,0
VDB,1969,0
VDB,1970,0
VDB,1971,0
VDB,1972,0
VDB,1973,0
VDB,1974,0
VDB,1975,0
VDB,1976,0
VDB,1977,0
VDB,1978,0
VDB,1979,0
VDB,1980,0
VDB,1981,0
VDB,1982,0
VDB,1983,0
VDB,1984,0
VDB,1985,0
VDB,1986,0
VDB,1987,0
VDB,1988,0
VDB,1989,0
VDB,1990,0
VDB,1991,0
VDB,1992,0
VDB,1993,0
VDB,1994,0
VDB,1995,0
VDB,1996,0
VDB,1997,0
VDB,1998,0
VDB,1999,0
VDB,2000,0
VDB,2001,0
VDB,2002,0
VDB,2003,0
VDB,2004,0
VDB,2005,0
VDB,2006,0
VDB,2007,0
VDB,2008,0
VDB,2009,0
VDB,2010,0
VDB,2011,0
VDB,2012,0
VDB,2013,0
VDB,2014,0
VDB,2015,0
VDB,2016,0
VDB,2017,0
VDB,2018,0
VDB,2019,0
VDB,2020,0
VDB,2021,0
VDB,2022,0
VDB,2023,0
VDB,2024,0
VDB,2025,0
SDAP,1956,0
SDAP,1957,0
SDAP,1958,0
SDAP,1959,0
SDAP,1960,0
SDAP,1961,0
SDAP,1962,0
SDAP,1963,0
SDAP,1964,0
SDAP,1965,0
SDAP,1966,0
SDAP,1967,0
SDAP,1968,0
SDAP,1969,0
SDAP,1970,0
SDAP,1971,0
SDAP,1972,0
SDAP,1973,0
SDAP,1974,0
SDAP,1975,0
SDAP,1976,0
SDAP,1977,0
SDAP,1978,0
SDAP,1979,0
SDAP,1980,0
SDAP,1981,0
SDAP,1982,0
SDAP,1983,0
SDAP,1984,0
SDAP,1985,0
SDAP,1986,0
SDAP,1987,0
SDAP,1988,0
SDAP,1989,0
SDAP,1990,0
SDAP,1991,0
SDAP,1992,0
SDAP,1993,0
SDAP,1994,0
SDAP,1995,0
SDAP,1996,0
SDAP,1997,0
SDAP,1998,0
SDAP,1999,0
SDAP,2000,0
SDAP,2001,0
SDAP,2002,0
SDAP,2003,0
SDAP,2004,0
SDAP,2005,0
SDAP,2006,0
SDAP,2007,0
SDAP,2008,0
SDAP,2009,0
SDAP,2010,0
SDAP,2011,0
SDAP,2012,0
SDAP,2013,0
